REF_DATE,GEO,DGUID,North American Product Classification System (NAPCS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,102.8,,,,1
2016-02,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,101.6,,,,1
2016-03,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.9,,,,1
2016-04,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,98.7,,,,1
2016-05,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.1,,,,1
2016-06,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.1,,,,1
2016-07,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.4,,,,1
2016-08,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.1,,,,1
2016-09,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.4,,,,1
2016-10,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100,,,,1
2016-11,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.5,,,,1
2016-12,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,100.2,,,,1
2017-01,Canada,2021A000011124,"Electrical, electronic, audiovisual and telecommunication products [P73]","Index, 202001=100",403,units,0,v1230996270,1.264,99.9,,,,1
