flow,hs4,hs6,hs_full,category,hs6_rule,status,ippi_napcs,hs6_desc,hs_full_desc,note
domestic_exports,7225,722511,72251100,Raw Materials,whole,keep,31212,"Flat rolled products, of silicon-electrical steel, >= 600 mm wide, grain oriented","Flat rolled products,of silicon-electrical steel, >= 600 mm wide, grain oriented",
domestic_exports,7225,722519,72251900,Raw Materials,whole,keep,31212,"Flat rolled products, of silicon-electrical steel, >= 600 mm wide, nes","Flat rolled products, of silicon-electrical steel, >= 600 mm wide, nes",
domestic_exports,7226,722611,72261100,Raw Materials,whole,keep,31212,"Flat rolled prod, al, o/t stainless, of sil elect steel, grain oriented, <600mm wide","Flat rolled prod,al,o/t stainless,of sil elect steel,grain oriented,<600mm wide",
domestic_exports,7226,722619,72261900,Raw Materials,whole,keep,31212,"Flat rolled products, alloy, o/t stain, of silicon elec steel, <600 mm wide, nes","Flat rolled products, alloy, o/t stain, of silicon elec steel, <600 mm wide, nes",
domestic_exports,7308,730820,73082000,Overhead Conductor,whole,keep,31212,"Towers and lattice masts, iron or steel","Towers and lattice masts, iron or steel",
domestic_exports,7407,740710,74071000,Raw Materials,whole,keep,322,"Bars, rods and profiles of refined copper","Bars, rods and profiles of refined copper",
domestic_exports,7408,740811,74081100,Raw Materials,whole,keep,322,Wire of refined copper of which the max cross sectional dimension exceeds 6mm,Wire of refined copper of which the max cross sectional dimension exceeds 6mm,
domestic_exports,7408,740819,74081900,Raw Materials,whole,keep,322,"Wire, of refined copper of which max cross-sectional dimension is 6mm or less","Wire, of refined copper of which max cross-sectional dimension is 6mm or less",
domestic_exports,7408,740821,74082100,Raw Materials,whole,keep,322,"Wire, of copper-zinc base alloys (brass)","Wire, of copper-zinc base alloys (brass)",
domestic_exports,7408,740829,74082900,Raw Materials,whole,keep,322,"Wire, copper alloy, nes","Wire, copper alloy, nes",
domestic_exports,7413,741300,74130000,Overhead Conductor,whole,keep,322,"Stranded wire, cable, plaited bands and the like, of copper not elec insulated","Stranded wire, cable, plaited bands and the like, of copper not elec insulated",
domestic_exports,7604,760410,76041000,Raw Materials,whole,keep,32711,"Bars, rods and profiles, aluminium, not alloyed","Bars, rods and profiles, aluminium, not alloyed",
domestic_exports,7604,760421,76042100,Raw Materials,whole,keep,32711,"Profiles, hollow, aluminium, alloyed","Profiles, hollow, aluminium, alloyed",
domestic_exports,7604,760429,76042900,Raw Materials,whole,keep,32711,"Bars, rods and other profiles, aluminium alloyed","Bars, rods and other profiles, aluminium alloyed",
domestic_exports,7605,760511,76051100,Raw Materials,whole,keep,32711,"Wire, aluminum, not alloyed, with a maximum cross-sectional dimension > 7mm","Wire, aluminum, not alloyed, with a maximum cross-sectional dimension > 7mm",
domestic_exports,7605,760519,76051900,Raw Materials,whole,keep,32711,"Wire,aluminum,not alloyed,with maximum cross-sectional dimension of 7mm or less","Wire,aluminum,not alloyed,with maximum cross-sectional dimension of 7mm or less",
domestic_exports,7605,760521,76052100,Raw Materials,whole,keep,32711,"Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm","Wire, of aluminum alloys, of which the maxium cross-sectional dimension > 7 mm",
domestic_exports,7605,760529,76052900,Raw Materials,whole,keep,32711,"Wire, aluminium alloy, with a maximum cross sectional dimension of 7mm or less","Wire, aluminium alloy, with a maximum cross sectional dimension of 7mm or less",
domestic_exports,7614,761410,76141000,Overhead Conductor,whole,keep,32711,"Stranded wire, cables, plaited bands, etc, alum, steel core, not elect insul","Stranded wire, cables, plaited bands, etc, alum, steel core, not elect insul",
domestic_exports,7614,761490,76149000,Overhead Conductor,whole,keep,32711,"Stranded wire, cables, plaited bands & the like or alum, not elect insul, nes","Stranded wire, cables, plaited bands and the like or alum, not elect insul, nes",
domestic_exports,8504,850421,85042100,Medium / Substation Transformer,whole,keep,381221,"Liquid dielectric transformers, having a power handling capacity <=650 kVA","Liquid dielectric transformers, having a power handling capacity <=650 kVA",
domestic_exports,8504,850422,85042200,Medium / Substation Transformer,whole,keep,381221,"Liq dielectric transf, having a power handling cap >650 kVA but <= 10,000 kVA","Liq dielectric transf, having a power handling cap >650 kVA but <= 10,000 kVA",
domestic_exports,8504,850423,85042300,Medium / Substation Transformer,carveout,keep,381221,"Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA","Liq dielectric transf, having a power handling capacity exceeding 10,000 kVA",
domestic_exports,8504,850431,85043100,,drop,not_used,P73,"Transformers electric, power handling capacity not exceeding 1 kVA, nes","Transformers electric, power handling capacity not exceeding 1 kVA, nes",
domestic_exports,8504,850432,85043200,,drop,not_used,P73,"Transformers electric, power handling capacity > 1 kVA but <= 16 kVA, nes","Transformers electric, power handling capacity > 1 kVA but <= 16 kVA, nes",
domestic_exports,8504,850433,85043300,Medium / Substation Transformer,whole,keep,381221,"Transformers electric, power handling capacity > 16 kVA but <= 500 kVA, nes","Transformers electric, power handling capacity > 16 kVA but <= 500 kVA, nes",
domestic_exports,8504,850434,85043400,Medium / Substation Transformer,whole,keep,381221,"Transformers electric, having a power handling capacity exceeding 500 kVA, nes","Transformers electric, having a power handling capacity exceeding 500 kVA, nes",
domestic_exports,8504,850440,85044000,Static power converters (incl. HVDC),carveout,keep,38125,"Static converters, nes","Static electric converters, nes",
domestic_exports,8504,850450,85045000,"Substation reactive-power equipment (shunt reactors, capacitor banks, SVC/STATCOM)",drop,not_used,38125,"Inductors, electric","Inductors, electric",
domestic_exports,8504,850490,85049000,Raw Materials,whole,keep,38122,"Parts of electrical transformers, static converters and inductors","Parts,of electrical transformers,static converters (ex rectifiers) and inductors",
